id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
32680591,Gaudi Sagrada Familia Apartment - 1131,238884286,BBarcelona Gaudí Apartments,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40531,2.16932,Hotel room,143,3,0,,,9,94,0,HUTB-008319
32210550,Key BCN Girona Pcl. 1,2439400,KeyBarcelona,Eixample,la Dreta de l'Eixample,41.3984,2.16456,Entire home/apt,336,1,32,2022-11-21,0.71,45,309,5,HUTB-010897
32229566,22-Apartamento Sagrada Familia,22076771,Luis,Sant Martí,el Camp de l'Arpa del Clot,41.41476,2.18309,Entire home/apt,70,31,1,2019-02-11,0.02,25,0,0,
32356833,Paseo de Gracia Apartment,21873399,Sol,Gràcia,la Vila de Gràcia,41.40131,2.16414,Entire home/apt,113,3,2,2019-09-15,0.04,38,295,0,HUTB-010246
32231801,☀️|Radiant and Lovely Home of Mallorca|☀️,239550764,Jaye Anne,Eixample,la Sagrada Família,41.40818,2.17947,Private room,75,64,0,,,20,145,0,
32361388,"Central, Elegant and Bright Eixample Oasis I",5264883,Unique,Eixample,l'Antiga Esquerra de l'Eixample,41.39214,2.15863,Entire home/apt,85,32,0,,,42,1,0,
32680710,Gaudi Central Apartment - 1132,238884286,BBarcelona Gaudí Apartments,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40418,2.17112,Entire home/apt,143,3,2,2020-01-10,0.06,9,84,0,HUTB-008318
32680842,Sagrada Família Modern Apartment - 1141,238884286,BBarcelona Gaudí Apartments,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40395,2.16934,Hotel room,143,3,0,,,9,72,0,HUTB-008293
32680971,Gaudi Charming Apartment - 1142,238884286,BBarcelona Gaudí Apartments,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40625,2.1696,Hotel room,143,3,1,2022-04-30,0.13,9,82,1,HUTB-008292
32681074,Gaudi Modern Apartment - 1152,238884286,BBarcelona Gaudí Apartments,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40476,2.17125,Hotel room,143,3,0,,,9,71,0,HUTB-008288
32233346,Key Bcn Girona 3.1,2439400,KeyBarcelona,Eixample,la Dreta de l'Eixample,41.40031,2.16585,Entire home/apt,336,1,27,2022-11-13,0.65,45,297,9,HUTB-010893
32681393,"Short/mid term rent, all expenses included",23663527,Sandro,Sants-Montjuïc,Sants - Badal,41.37629,2.12836,Entire home/apt,50,60,0,,,2,0,0,Exempt
32362442,"Central, Elegant and Bright Eixample Oasis II",5264883,Unique,Eixample,la Dreta de l'Eixample,41.39341,2.15855,Entire home/apt,92,32,8,2022-10-25,0.18,42,0,2,
32236404,Premium Double Room 1,16581062,Sander,Eixample,la Nova Esquerra de l'Eixample,41.38406,2.1557,Private room,60,1,115,2020-09-09,2.49,2,0,0,Exempt
32362696,Super sunshine studio,173771925,Benzi,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40548,2.16838,Private room,128,31,8,2022-10-28,0.85,8,51,8,Exempt
32371856,Best Location Port Vell Apartment,3775349,Mafe,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38269,2.18331,Entire home/apt,115,32,1,2020-01-03,0.03,36,0,0,
32373324,Paseo de Gracia Apartment,21873399,Sol,Gràcia,la Vila de Gràcia,41.39968,2.16347,Entire home/apt,106,3,4,2022-10-03,0.09,38,361,1,HUTB-010244
32373421,001.Alió 1 Apartment,396363,Alcambarcelona,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40357,2.16753,Entire home/apt,131,1,26,2022-11-07,0.58,107,238,16,HUTB-003670
32683159,Bello apartamento a 70 metros d''Sagrada Familia'',245744339,Roberto Maria,Eixample,la Sagrada Família,41.40303,2.17579,Entire home/apt,135,3,22,2019-09-26,0.48,1,164,0,HUTB-001717
32684973,Exclusivo apartamento en el corazón de Barcelona,245735909,Alessandro,Eixample,la Dreta de l'Eixample,41.38826,2.17215,Entire home/apt,46,32,7,2022-10-06,0.17,1,148,3,
32237261,Premium Double Room 3,16581062,Sander,Eixample,l'Antiga Esquerra de l'Eixample,41.38562,2.1542,Private room,60,1,116,2020-08-24,2.51,2,0,0,Exempt
32252665,Double Room - Barcelona City Center,162903177,Fabiana,Ciutat Vella,el Barri Gòtic,41.37863,2.17943,Private room,27,3,5,2019-04-15,0.11,1,0,0,Exempt
32689744,Habitacion en Sagrada Familia,180333738,Nico,Eixample,la Sagrada Família,41.40967,2.17433,Private room,19,30,2,2019-04-06,0.04,1,0,0,
32373685,The Gran Via Penthouse,21873399,Sol,Eixample,la Dreta de l'Eixample,41.39268,2.17158,Entire home/apt,140,3,1,2019-03-09,0.02,38,331,0,HUTB-005182
32377848,"Ramblas, Plaza Real. Penthouse, WIFI BBQ,700€/week",3558883,Joaquin,Ciutat Vella,el Barri Gòtic,41.38043,2.17411,Entire home/apt,48,32,1,2020-04-07,0.03,3,281,0,Exempt
32252894,2 Bedroom Apartment Barcelona,26059902,Jenny & Pol,Sant Andreu,Navas,41.41709,2.18851,Entire home/apt,55,32,6,2022-11-02,0.14,22,208,2,
32253500,Hidden Gem of Barcelona City Centre,1323295,Miguel,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38477,2.18287,Entire home/apt,65,32,3,2020-06-30,0.07,1,193,0,
32378634,Paseo de Gracia Duplex 2 2,86551441,Maria Soledad,Eixample,la Dreta de l'Eixample,41.39924,2.1654,Entire home/apt,125,3,7,2022-07-25,0.17,29,340,3,HUTB-010240
32704893,COZY STUDIO 2 PAX IN BORN - B3,139063900,Deco Apartments Barcelona,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.384827,2.183088,Entire home/apt,113,1,135,2022-12-05,2.95,36,260,59,HUTB-502384
32704997,COZY STUDIO 2 PAX IN BORN,139063900,Deco Apartments Barcelona,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.384827,2.183088,Entire home/apt,113,1,137,2022-12-08,3.00,36,292,43,HUTB-502479
32949171,Big Light  Room in Born  with balcony,184642867,Vi,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38722,2.17952,Private room,23,32,4,2021-06-11,0.09,8,2,0,Exempt
32956423,Bright apartment with terrace and A/C. Park Guëll,56391194,Emma,Gràcia,la Vila de Gràcia,41.41013,2.15811,Entire home/apt,80,32,2,2019-08-26,0.05,1,0,0,
32712595,Cool double bedroom with great private bathroom,122690254,Mercè,Sants-Montjuïc,Sants,41.37759,2.13632,Private room,31,32,0,,,1,357,0,Exempt
32712903,Stylish 2 bedroom flat in Poblenou,245974911,Leonard,Sant Martí,el Poblenou,41.40407,2.2016,Entire home/apt,64,32,9,2022-08-26,0.23,3,90,1,
32714101,Stylish Studio in the center of Poblenou,245974911,Leonard,Sant Martí,el Poblenou,41.40373,2.20151,Entire home/apt,44,32,3,2022-01-28,0.21,3,95,2,
